"Participant.name"	"Average.calibration.accuracy.degrees"	"Average.validation.accuracy.degrees"	"Average.calibration.accuracy.pixels"	"Average.validation.accuracy.pixels"	"Presented.Stimulus.name"
"P01"	0.11	0.33	5	14	"a1,c2"
"P01"	0.13	0.36	6	15	"d3,p4"
"P02"	0.11	0.51	4	18	"a2,c1"
"P02"	0.14	0.87	6	34	"d4,p3"
"P03"	0.2	0.45	8	18	"d3,p4"
"P03"	0.25	0.29	11	12	"a1,c2"
"P04"	0.18	1.41	8	57	"d4,p3"
"P04"	0.19	0.88	8	36	"a2,c1"
"P05"	0.39	0.41	18	18	"d3,p4"
"P05"	0.43	0.41	20	18	"a1,c2"
"P06"	0.27	0.42	12	17	"d4,p3"
"P06"	0.27	0.67	11	27	"a2,c1"
"P07"	0.16	0.39	7	16	"d3,p4"
"P07"	0.21	0.41	9	16	"a1,c2"
"P08"	0.21	0.44	9	19	"d3,p4"
"P08"	0.26	0.35	12	15	"a1,c2"
"P09"	0.17	0.24	7	10	"d4,p3"
"P09"	0.18	0.13	8	6	"a2,c1"
"P10"	0.15	0.91	7	39	"d3,p4"
"P10"	0.27	0.82	14	35	"a1,c2"
"P11"	0.13	0.47	6	19	"d4,p3"
"P11"	0.16	0.71	7	31	"a2,c1"
"P12"	0.34	0.58	14	24	"d4,p3"
"P12"	0.43	0.58	17	22	"a2,c1"
"P14"	0.19	0.45	8	19	"d4,p3"
"P14"	0.27	0.59	12	25	"a2,c1"
